"origin","props","mean.wait"
"1","PMD",0.25383707201889,8.21959858323495
"2","ANC",0.343448797213748,6.06433759010772
"3","ELP",0.296574656099116,5.02633428337173
"4","CAE",0.358146341463415,6.56526829268293
"5","BNA",0.340718210468998,5.40355475131041
"6","IMT",0.220532319391635,5.27756653992395
"7","SGF",0.241114821304592,5.78824346216154
"8","HTS",0.352097370136927,3.48163442729841
"9","ACV",0.380037586134892,14.0683858843182
"10","LNY",0.142857142857143,-5.53571428571429
"11","KOA",0.188715953307393,-0.116881173301407
"12","LMT",0.261770244821092,10.1494036409291
"13","CID",0.204629971678365,3.2109346139638
"14","CRP",0.24893108011809,4.2116970375649
"15","CHA",0.299658265698419,4.50457069628364
"16","BET",0.387102094672604,8.00164934850734
"17","MFE",0.220837166513339,2.87529898804048
"18","SMF",0.356053797762558,6.07856611608665
"19","CAK",0.261249796051558,5.18890520476424
"20","YUM",0.240649711476811,2.70645437059201
"21","FAR",0.1882876204596,1.85675663890464
"22","ORH",0.281647486371896,3.58298001211387
"23","CPR",0.254669655246024,2.09872985377308
"24","IYK",0.127496812579686,-2.48533786655334
"25","MVY",0.311475409836066,8.80327868852459
"26","ART",0.190909090909091,9.42424242424242
"27","PSC",0.243851071831516,1.30221887927792
"28","GTF",0.201021566401816,1.57519863791146
"29","FMN",1,240
"30","OMA",0.258083024485555,4.08486206522245
"31","LGB",0.256544972026969,3.27279084779802
"32","ILE",0.168441814595661,0.321499013806706
"33","MLU",0.300264806562036,6.94361557837628
"34","SIT",0.335257150185969,9.39604976272926
"35","TUS",0.288069290890555,3.82956242739393
"36","ATW",0.215807560137457,4.43127147766323
"37","MGM",0.293266375074248,5.83379232139964
"38","SDF",0.32405268697737,5.20498801239694
"39","JAC",0.314167314167314,3.32305965639299
"40","OGG",0.220463972960516,0.977231525579966
"41","ROA",0.377363099018123,6.41043427287382
"42","CLD",0.318493150684932,4.39823874755382
"43","GSO",0.348641458010809,5.36250961779129
"44","MSO",0.277506463659868,2.27819592071244
"45","ATL",0.442727385631167,7.66001889138542
"46","PIA",0.225433172105553,4.42888630380212
"47","AVL",0.355346381791922,6.88779321679367
"48","SPI",0.235586206896552,6.92744827586207
"49","BRD",0.105919003115265,-6.68535825545171
"50","ESC",0.138418079096045,-0.0875706214689266
"51","OME",0.409799196787149,8.71791164658635
"52","TLH",0.351203639350477,4.66942566500284
"53","MCN",0.251713395638629,10.1470404984424
"54","BWI",0.413355337639099,6.53893335692657
"55","RST",0.170596474845337,1.23631376211042
"56","CWA",0.209224730127576,4.84337585868499
"57","LAN",0.196888331242158,2.26870765370138
"58","CDC",0.233616504854369,0.254247572815534
"59","SPS",0.164004044489383,1.4252780586451
"60","MQT",0.161652627356598,2.55996791014842
"61","FNT",0.241597839073295,3.0205703599813
"62","HKY",0.263829787234043,5.24255319148936
"63","ERI",0.346681636726547,2.51309880239521
"64","EWN",0.238758708043065,5.8214059531349
"65","SFO",0.416432488441425,8.8511875438
"66","BDL",0.328808190808117,3.82357770515421
"67","JFK",0.362264783537991,7.33020851025346
"68","ORD",0.430632127332014,8.09845128104776
"69","MKG",0.181446111869031,0.56343792633015
"70","JAN",0.32120062670075,4.70261400181413
"71","COS",0.257205845301083,3.63570168808264
"72","PAH",0.235294117647059,3.25770308123249
"73","HHH",0.370600414078675,22.4037267080745
"74","FLG",0.181844631946465,1.17006109979633
"75","SYR",0.354610456530285,4.37432933501907
"76","GTR",0.313278746885012,9.13563545745817
"77","PLN",0.141104294478528,-0.285276073619632
"78","SPN",0.21555647496897,2.1936284650393
"79","BUR",0.313007692873761,5.81773719694097
"80","SNA",0.356754460161607,5.04070177626886
"81","SBN",0.294765062791026,4.2679554113165
"82","RIC",0.315006282534554,4.80560940585173
"83","MFR",0.346950041402153,9.52646977642837
"84","HNL",0.241205687521963,1.80553647010694
"85","STX",0.233472222222222,2.67777777777778
"86","GRB",0.190428175303396,2.48752205697
"87","INL",0.12621359223301,-0.0355987055016181
"88","OGD",1,108
"89","GEG",0.275162173119805,4.55526555848368
"90","MAF",0.247045477982881,4.35806950603279
"91","MHT",0.317233178344289,5.53341617230506
"92","ABY",0.312972292191436,8.62625944584383
"93","CLE",0.287376648489198,3.9817411400257
"94","GPT",0.246954716775004,4.9077948325777
"95","BMI",0.256817715808899,6.58171006766455
"96","HDN",0.195031712473573,0.917019027484144
"97","UTM",0.269230769230769,-0.634615384615385
"98","BUF",0.33821443554348,5.2138495448522
"99","BKG",0.291900152827305,3.10443199184921
"100","SCK",0.229268292682927,5.13560975609756
"101","RDD",0.331262052710521,11.0683522605528
"102","APN",0.192691029900332,-0.209302325581395
"103","CIC",0.330917874396135,12.2213164251208
"104","MWH",0.0235294117647059,-1.16470588235294
"105","DET",0.288441304674583,6.35472719074102
"106","PWM",0.310681659950632,5.37939618979303
"107","LWS",0.193823915900131,-2.06373193166886
"108","STL",0.349491078751698,5.85986043322173
"109","LAS",0.400330040442411,7.61198893854391
"110","DRO",0.217871080608263,2.39160274525636
"111","HPN",0.292270531400966,5.04178743961353
"112","SAV",0.304030294833649,5.06065728969435
"113","PBI",0.335108346435163,4.87582199740242
"114","SOP",0.490909090909091,14.1181818181818
"115","STT",0.250695811553866,5.44104269906999
"116","MHK",0.221634332745444,3.23221634332745
"117","MCI",0.328101996931276,5.0847600828499
"118","MSN",0.214180988840922,3.31774863566018
"119","ABI",0.183196085451725,2.52130325814536
"120","ADQ",0.424347279018559,8.00975149418056
"121","SCE",0.138475417230492,0.43978349120433
"122","SLC",0.339405960528448,4.01796620993505
