origin,props,mean.wait
DSM,0.292706978,6.99060467
CLT,0.526926219,10.98816915
GRK,0.322240348,8.786949429
CMI,0.239523952,6.402340234
PIE,0.218453189,3.012890095
BQK,0.326897019,11.56605691
CCR,0.212525667,1.979466119
DAB,0.391103559,8.094889557
SRQ,0.301574689,5.365453145
FSM,0.252127808,6.57513604
LNK,0.328440833,7.783087862
JNU,0.404181635,9.891272323
ADK,0.529411765,10.49632353
GRI,0.249492901,3.267748479
SGU,0.249236894,1.100066357
ISN,0.235404896,3.549905838
LEX,0.358689292,7.938420129
PIH,0.150908673,-1.069013112
MEI,0.379477251,12.58615682
LFT,0.302176153,8.192398618
AZO,0.233359568,3.247076681
GCN,0.235428571,3.628571429
BFL,0.25750317,5.057911794
GST,0.396741735,7.168183996
MSY,0.351548289,7.282070694
FCA,0.320477628,8.25288224
YKM,0.369294606,2.804979253
LSE,0.226921039,3.673025967
SEA,0.453410673,8.897032724
MIA,0.468803105,12.977353
RKS,0.224246932,-0.091111938
PHL,0.514831522,13.00015689
COD,0.267177459,1.763470094
SLE,0.256410256,0.551282051
SMX,0.208622184,0.865034662
CYS,0.454545455,9.486631016
EYW,0.402802893,9.204792043
ABE,0.327015032,11.49566213
DUT,0.514409222,14.74495677
YAP,0.5,21.54225352
MEM,0.352594269,7.268624514
TWF,0.185079225,-0.834507042
TXK,0.210722264,4.445023579
CHO,0.330010735,7.699279252
RDU,0.406447083,9.330422489
AEX,0.301396745,9.891954288
EGE,0.177590512,2.837702871
UCA,0.482656095,4.722497522
LAW,0.204132974,3.641150045
VIS,0.118,-1.032
DFW,0.51936932,11.16661609
PPG,0.269230769,-1.153846154
PUB,0.089085546,0.794100295
TYR,0.219326666,4.4331596
RSW,0.319235838,6.364621985
ACK,0.454414932,23.2246949
SAF,0.371232152,9.60126917
DCA,0.376062176,7.841006662
HLN,0.284561478,1.594924612
BJI,0.227963526,1.694528875
CRW,0.437470702,10.57581124
HVN,0.449466734,9.066023362
LYH,0.323005698,7.191951567
GCK,0.27173913,2.972826087
GRR,0.324180691,6.842880372
BGM,0.339917453,4.331957547
YAK,0.35358523,10.36882782
PHX,0.438696616,9.147374168
FAY,0.368470843,9.012095412
BOI,0.32366459,6.263583904
LIH,0.19490923,0.758694226
SBA,0.311749167,7.148593086
GGG,0.206809584,3.418663304
GUM,0.343950906,5.040035067
VCT,0.154598826,1.829745597
LRD,0.293430657,6.615527538
DBQ,0.246390458,5.086315129
CHS,0.384252815,8.512575973
TPA,0.386747648,9.244202718
COU,0.397606383,12.56117021
BHM,0.388921486,8.344209391
ITH,0.270388833,1.863609172
MRY,0.337342378,7.190603021
ITO,0.195801245,-0.37071421
EAU,0.236268527,4.193548387
OAK,0.429324897,7.194826744
DIK,0.253012048,3.141566265
