"origin","Avg_Num.flights"
"236","ABE",5223.25925925926
"237","DUT",528
"238","YAP",177.25
"239","MEM",54582.6296296296
"240","TXK",1337
"241","TWF",1463.69230769231
"242","CHO",1584.47058823529
"243","RDU",47177
"244","AEX",3166.63636363636
"245","EGE",1367.44
"246","UCA",773.166666666667
"247","LAW",1986.54545454545
"248","VIS",664.333333333333
"249","DFW",261590.62962963
"250","PPG",106
"251","PUB",855.375
"252","TYR",2193.23076923077
"253","RSW",19759.7777777778
"254","ACK",203.705882352941
"255","SAF",1214.6
"256","DCA",81832.0740740741
"257","MKC",1
"258","HLN",1293.51851851852
"259","BJI",279.833333333333
"260","CRW",3078.07692307692
"261","HVN",818.333333333333
"262","LYH",867.923076923077
"263","GCK",636
"264","GRR",11196.4444444444
"265","BGM",1160.04
"266","YAK",689.481481481482
"267","PHX",163144.925925926
"268","FAY",2347.46153846154
"269","BOI",11147.4814814815
"270","LIH",5855.86956521739
"271","SBA",6447.22222222222
"272","GGG",969.461538461538
"273","BFI",1
"274","GUM",1446.45454545455
"275","VCT",815
"276","LRD",2352.69230769231
"277","DBQ",995.461538461538
"278","CHS",10786.4074074074
"279","TPA",61571.5185185185
"280","COU",798.666666666667
"281","BHM",18568.4444444444
"282","ITH",1085.78947368421
"283","ITO",5567
"284","MRY",3575.18518518519
"285","EAU",662.875
"286","OAK",51598.1851851852
"287","DIK",810
"288","PHF",3262.6
"289","LWB",156.666666666667
"290","TRI",2425.38461538462
"291","AMA",6217.33333333333
"292","ACT",1992.30769230769
"293","SAN",71801.3333333333
"294","BTM",777.894736842105
"295","PIR",3.75
"296","IPL",796.272727272727
"297","SJC",48864.5925925926
"298","PNS",7640.77777777778
"299","EFD",908.25
"300","HOU",54696.6666666667
"301","LAX",190399.481481481
"302","SBP",4992.76923076923
"303","BTR",7128.59259259259
"304","OXR",1388.875
"305","ABQ",34172.1851851852
"306","TVL",662.8
"307","TYS",9705.96296296296
"308","MOB",5580.14814814815
"309","TOL",2366.11538461538
"310","ILM",2854.2962962963
"311","GFK",1204.40740740741
"312","TTN",479.333333333333
"313","BIS",2423.2962962963
"314","MSP",124539.296296296
"315","SJU",21396.037037037
"316","MTJ",1221
"317","ORF",18894.2962962963
"318","MLI",4007.51851851852
"319","RAP",2903.11111111111
"320","MKK",96.3333333333333
"321","PDX",48877.3333333333
"322","ALO",354.666666666667
"323","ROW",974.571428571429
"324","EUG",3656.22222222222
"325","AUS",37836.3333333333
"326","SCC",560.555555555556
"327","FLO",671.666666666667
"328","EVV",3154.59090909091
"329","FLL",49505.8148148148
"330","SUN",2209.23076923077
"331","ICT",9929.96296296296
"332","MIB",89
"333","CSG",1396.95
"334","CDV",694.444444444444
"335","PVU",1
"336","SWF",2759.29166666667
"337","IAH",140156.481481481
"338","APF",509.25
"339","MCO",95179.7037037037
"340","MKE",24178.5555555556
"341","IDA",2185.52173913043
"342","FSD",4933.44444444444
"343","CKB",2.66666666666667
"344","SHD",30
"345","HSV",7649.55555555556
"346","MOD",1741.36363636364
"347","AGS",2702.80769230769
"348","SHV",5834.77777777778
"349","ASE",4656.625
"350","MTH",128
"351","BRO",1274
"352","MDT",7333.85185185185
"353","ONT",33033.8888888889
"354","JLN",698.5
"355","OKC",21981.6666666667
"356","WRG",691.296296296296
"357","BLI",708.5
"358","MBS",3257.33333333333
"359","OTZ",964.37037037037
"360","OAJ",1162.35294117647
"361","HRL",5165.74074074074
"362","GUC",432.851851851852
"363","MOT",1372.7037037037
"364","ISP",7180.22222222222
"365","ROC",15752.5925925926
"366","LGA",103777.481481481
"367","CLL",2064
"368","JAX",24276.5925925926
"369","LAR",421.5
"370","SCK",929.25
"371","RDD",1494.61538461538
"372","CIC",1259.63636363636
"373","LWS",679.888888888889
"374","STL",110957.925925926
"375","LAS",124363.814814815
"376","HPN",6402.7037037037
