origin,props,mean.wait
PIR,0.666666667,31.86666667
SJC,0.352757753,5.868554887
PNS,0.349003342,6.136106112
EFD,0.16378814,-0.653137594
HOU,0.428314729,9.563629561
LAX,0.431359636,7.904738507
BTR,0.363078651,8.099900402
SBP,0.270226894,6.84927778
OXR,0.220830647,0.605764803
ABQ,0.359496083,6.808898416
TVL,0.334744383,4.29697167
TYS,0.314552053,6.313796648
MOB,0.369667028,6.919139145
ILM,0.335025716,5.350402602
TOL,0.334197454,5.204596009
GFK,0.162248412,1.876583778
TTN,0.398566308,9.444802867
BIS,0.227515611,2.933859393
MSP,0.36351615,7.233771067
SJU,0.351424502,7.61617011
MTJ,0.28984683,5.675007583
ORF,0.381867132,7.175136113
MLI,0.279199142,7.119540143
RAP,0.237304459,3.569444806
MKK,0.08988764,-2.966292135
PDX,0.352724555,6.312311287
ROW,0.280801435,5.545155502
ALO,0.206418919,6.624324324
EUG,0.328590618,7.915054763
AUS,0.326795831,6.063343511
SCC,0.295134838,6.710903726
FLO,0.333960972,9.734851078
EVV,0.303683403,6.20873114
FLL,0.416711781,9.227102809
SUN,0.221455739,0.999105079
ICT,0.271750998,6.015461438
MIB,0.125,-7.136363636
CSG,0.341908775,7.524987063
CDV,0.294652581,6.535068613
PVU,0,0
IAH,0.41939774,7.696558384
SWF,0.319961722,5.442806649
APF,0.322964087,7.952959029
MCO,0.398110108,8.003227632
MKE,0.311934927,6.225345593
FSD,0.26323579,6.052628754
IDA,0.242896092,2.065111582
CKB,0.625,25.625
HSV,0.277028467,5.596666022
MOD,0.398528273,12.288702
SHD,0.533333333,13.61666667
AGS,0.356815996,8.400871491
SHV,0.309999027,5.884967405
ASE,0.353501612,10.55029483
MTH,0.412698413,15.96825397
BRO,0.232843324,3.642280448
MDT,0.286008369,5.666218998
ONT,0.339099498,6.047515574
OKC,0.317292565,6.179443994
WRG,0.331897757,8.793724481
JLN,0.225735294,8.333823529
BLI,0.315231924,3.589838527
MBS,0.220925591,3.834734321
OTZ,0.398781612,9.119874955
OAJ,0.354071931,6.975816453
GUC,0.297275783,7.943481337
HRL,0.296844891,6.109043578
ISP,0.359930794,6.880839942
MOT,0.219273475,2.650884167
ROC,0.375976701,7.459337157
LGA,0.389012793,8.410666575
CLL,0.185192278,2.66902865
JAX,0.357613245,7.048115029
LAR,0.21375,4.6675
SCK,0.207432058,4.69412091
RDD,0.346577665,12.06521509
CIC,0.341629297,12.47698057
LWS,0.230402629,-0.205258833
STL,0.398893221,8.463730478
LAS,0.432952909,9.140295188
HPN,0.334615502,8.394546727
MHK,0.287748827,7.37497977
MCI,0.366119989,7.123521969
MSN,0.254056268,5.928023961
ABI,0.214098282,4.315660782
ADQ,0.390183952,7.272359657
SCE,0.166116612,2.076457646
GJT,0.257738165,4.664353439
EKO,0.228148547,1.579655544
BRW,0.414303104,10.16445526
PIT,0.504630214,8.156486434
IAD,0.39179735,9.673141348
AVP,0.345174251,6.379788027
BTV,0.367299714,8.53159495
PVD,0.358111754,6.866331147
SUX,0.200820966,3.78275971
PFN,0.357909549,10.69222462
DTW,0.403343363,8.739314696
FOE,0.105263158,-1.315789474
TUL,0.310094792,6.359589126
XNA,0.304413192,9.878950704
DLG,0.412788424,10.19026203
WYS,0.138247283,-2.715353261
SAT,0.328341371,5.981435375
LIT,0.334133106,7.167773888
BFF,1,131
VPS,0.2806382,7.630384955
FAT,0.308632956,6.190188245
HIB,0.118778281,-5.728506787
LCH,0.194624463,2.673579371
HOB,0.227303754,7.092832765
DEN,0.462334231,9.42137768
PSP,0.313182083,6.386868179
ACY,0.315252014,4.926456811
DAL,0.420820573,8.689118083
TUP,0.284874399,8.599679316
RFD,0.235154394,2.340855107
MMH,0.466836735,13.68367347
ALB,0.367463786,6.850078516
AKN,0.401940178,9.572999192
ECP,0.317706315,8.663308795
BZN,0.28793549,4.02637441
DLH,0.24131353,3.823568152
GSP,0.316988001,6.160650676
ROR,0.319568278,6.30549038
CLT,0.482893156,8.348185288
GRK,0.280661157,6.896749311
PIE,0.193741371,1.270593649
CCR,0.217141544,3.041130515
SRQ,0.32520151,5.662681777
FSM,0.209553546,3.558103646
LNK,0.322867903,7.552305359
JNU,0.385365945,10.38514207
GRI,0.23415493,4.792840376
SGU,0.260962424,2.354234799
ISN,0.299915398,9.012267343
LEX,0.348947535,7.214233221
MEI,0.33729272,10.80312831
LFT,0.271940187,6.512279665
AZO,0.242262377,3.667835135
BFL,0.252087615,5.077227869
TEX,0.277294686,6.739130435
MSY,0.348231162,6.64836997
LSE,0.209863388,3.141912568
MIA,0.426747292,9.745127115
RKS,0.2754935,2.43350987
SLE,0.289772727,2.348863636
SMX,0.227031851,1.749762927
CYS,0.347767253,10.97699594
MEM,0.339423912,6.389657216
TWF,0.226658116,2.170327615
LAW,0.166540892,1.703660032
VIS,0.138286334,0.140997831
DFW,0.485859445,9.423430872
PPG,0.509433962,55.76415094
TYR,0.189209672,2.39238542
DCA,0.350876193,5.703096711
MKC,1,8
HVN,0.418913136,7.687205819
LYH,0.346697039,6.64309795
GCK,0.227858293,4.876006441
YAK,0.295602294,6.475880907
PHX,0.423852888,8.436500475
FAY,0.305614141,6.513240266
LIH,0.188960217,-0.064824456
GGG,0.179386503,1.823721881
BFI,1,28
VCT,0.172530733,2.408647732
DBQ,0.256178126,5.703694642
TPA,0.36700029,7.299443002
COU,0.386712095,11.02981261
BHM,0.35543892,6.737234034
ITO,0.175964355,-1.292672432
OAK,0.412873441,7.320115133
PHF,0.320777719,8.467631521
ACT,0.189138577,2.246633198
