origin,props
ROW,0.236570808
ALO,0.131270011
EUG,0.322395985
AUS,0.292655434
SCC,0.263143848
FLO,0.333578792
EVV,0.260161614
FLL,0.345828244
SUN,0.185091598
ICT,0.232050406
MIB,0.125
CDV,0.301019302
CSG,0.319913731
IAH,0.350517003
SWF,0.290332785
APF,0.289890378
MCO,0.33636852
MKE,0.260447528
FSD,0.237842883
IDA,0.21483376
CKB,1
HSV,0.24425547
MOD,0.391559467
SHD,0.6
AGS,0.325463449
SHV,0.27625173
ASE,0.234211546
BRO,0.186774044
MDT,0.261360127
ONT,0.309784381
OKC,0.27953869
WRG,0.326266458
JLN,0.157303371
BLI,0.334724541
OTZ,0.439915898
MBS,0.18255814
OAJ,0.308689488
HRL,0.261767882
GUC,0.241835834
ISP,0.31592437
MOT,0.18998254
ROC,0.330311768
LGA,0.353549386
CLL,0.161605372
JAX,0.311004104
LAR,0.158590308
