"origin","props","mean.wait"
"1","PMD",0.187462326702833,5.7622061482821
"2","ANC",0.347066327604645,6.81885372898054
"3","ELP",0.334158617431955,6.28983108823482
"4","RDR",0.0652173913043478,-1.32608695652174
"5","CAE",0.394343747378395,9.03317163681943
"6","BNA",0.379705454588535,7.40485742778355
"7","IMT",0.248768472906404,4.5948275862069
"8","SGF",0.277177222898904,8.37068615509541
"9","HTS",0.38036047234307,4.60992146448952
"10","ACV",0.382450245541484,14.6134401654174
"11","LNY",0.0833333333333333,-4.5036231884058
"12","KOA",0.223665566176841,1.39844924440225
"13","LMT",0.291113381001021,11.7466802860061
"14","CID",0.255421431332693,6.06283747552718
"15","CRP",0.279739331188806,5.72353501697929
"16","CHA",0.321027027027027,5.94596756756757
"17","BET",0.383632249413342,7.99618672477372
"18","MFE",0.261250142840818,4.51491258141927
"19","SMF",0.38130770228279,7.0910317648355
"20","CAK",0.299275951905455,7.28216507639077
"21","FAR",0.233908638347332,4.54262154871817
"22","YUM",0.242761974720738,2.86676460903265
"23","ORH",0.312,4.36962962962963
"24","CPR",0.275319033396688,3.62612001086071
"25","IYK",0.142206938403965,-1.50642257509861
"26","MVY",0.468384074941452,23.2786885245902
"27","ART",0.245297805642633,12.5462382445141
"28","GTF",0.216348232039422,2.70758767758854
"29","PSC",0.274227645291696,2.42443348292104
"30","FMN",1,203.666666666667
"31","OMA",0.304425368034314,6.40678378604653
"32","LGB",0.291983246315658,4.7584335928285
"33","ILE",0.174307796203197,1.2957154648458
"34","MLU",0.329421183251941,7.69867904891522
"35","SIT",0.328101925582742,8.16664253655712
"36","TUS",0.319602171031627,5.13880283665986
"37","ATW",0.264125620722051,7.42423835726748
"38","MGM",0.325465137096663,7.91976643300786
"39","JAC",0.353665388683236,7.04544553146483
"40","SDF",0.358278550397215,7.20196292661247
"41","OGG",0.259280603179177,2.48309376835526
"42","ROA",0.388541615994552,7.4897236950917
"43","CLD",0.308063931720279,3.69632432867668
"44","GSO",0.380135311090263,7.32531139746628
"45","MSO",0.295621464952022,3.77773869488139
"46","ATL",0.491906438793007,10.2737574966348
"47","PIA",0.276633041704515,7.20656244522
"48","AVL",0.367404991276644,7.99748413360641
"49","SPI",0.267428890128277,9.62953151143335
"50","BRD",0.203050524308866,-0.775023832221163
"51","ESC",0.131919905771496,1.4263839811543
"52","OME",0.407010710808179,9.41663096397274
"53","TLH",0.390411067569926,6.9400136440799
"54","MCN",0.292576419213974,12.6573508005822
"55","BWI",0.457343206077857,9.35314519835733
"56","RST",0.198482169171824,3.20058944886531
"57","SPS",0.192479412640143,2.72616330985217
"58","MQT",0.22747461928934,7.61685702199662
"59","LAN",0.242156950730138,4.45627508044975
"60","CWA",0.276404974115387,8.80733308427176
"61","CDC",0.225592143269786,1.36799537839399
"62","FNT",0.293156023433249,5.70523705287665
"63","HKY",0.280645161290323,8.39838709677419
"64","ERI",0.387147831592276,4.4696106362773
"65","EWN",0.285430134261561,8.48135256091497
"66","SFO",0.443773394618833,10.292327279975
"67","ORD",0.488919807398991,11.8700080892626
"68","BDL",0.366852871513324,6.06449325490604
"69","JFK",0.431172334917711,11.4054282620638
"70","MKG",0.260141661300708,5.17321313586607
"71","JAN",0.357907322621096,6.92669046855276
"72","COS",0.301758497221867,5.52408390178841
"73","PAH",0.260029175784099,5.7764405543399
"74","HHH",0.371691599539701,19.7698504027618
"75","FLG",0.192754172989378,2.35857359635812
"76","SYR",0.397334493183197,6.66925216532156
"77","GTR",0.315638823835545,10.5192991586434
"78","PLN",0.205619982158787,6.52096342551294
"79","SPN",0.223363544813696,2.47240684793555
"80","SNA",0.379041711318517,5.8230347352782
"81","BUR",0.333454877456461,6.44182333276834
"82","SBN",0.331786793267156,7.0072891190716
"83","RIC",0.349387320682736,6.93715861471582
"84","MFR",0.364804637300741,10.5700926913297
"85","HNL",0.278287777604216,3.32635527917596
"86","STX",0.27886288284148,4.39749860486492
"87","GRB",0.228368666906216,4.9254132231405
"88","INL",0.180094786729858,2.50900473933649
"89","OGD",0.833333333333333,143.666666666667
"90","GEG",0.305106222962361,5.60072932499518
"91","MAF",0.274262584907416,5.55270721545031
"92","MHT",0.34596674332213,7.76217529154023
"93","ABY",0.31160385489305,9.37914283475672
"94","CLE",0.332380966290466,6.36582517583799
"95","GPT",0.284378169746947,7.39318693767866
"96","BMI",0.297695230476952,9.35011498850115
"97","HDN",0.294785649730834,8.63263782466895
"98","UTM",0.362745098039216,3.63235294117647
"99","BUF",0.383418015411016,7.60776271072378
"100","BKG",0.318467995802728,5.1063308849248
"101","APN",0.254342431761787,1.56327543424318
"102","MWH",0.0497737556561086,-2.88989441930618
"103","DET",0.309404990403071,7.06925143953935
"104","PWM",0.347020177073873,7.85273232315185
"105","DRO",0.260543856544564,4.89515130065475
"106","SAV",0.341306129491438,7.44272095932364
"107","PBI",0.401047686744754,7.93819884414501
"108","SOP",0.57328990228013,25.2410423452769
"109","STT",0.306378464394643,6.10152499668479
"110","SLC",0.397010861869713,6.19260334565294
"111","ABR",0.231981981981982,1.81231231231231
"112","MLB",0.295961707004652,5.55731140025619
"113","GCC",0.229120037695842,2.25974790905878
"114","EWR",0.439712001803511,11.7174467791983
"115","BOS",0.403186919308909,8.88456041225019
"116","BIL",0.255273061037173,2.86051399724644
"117","BQN",0.285651102546282,4.23832690971125
"118","RNO",0.359085314095206,7.32275302782895
"119","BGR",0.323528912862789,7.75577154682544
"120","KSM",0.300236406619385,5.85106382978723
"121","BPT",0.20118025751073,3.46287553648069
