Origin,win.props
MRY,0.313233156
EAU,0.232676056
OAK,0.432987966
DIK,0.717171717
PHF,0.305410206
LWB,0.276752768
TRI,0.344542058
AMA,0.32773455
ACT,0.186163677
SAN,0.406545436
BTM,0.259640103
IPL,0.33974359
PIR,0.75
SJC,0.373033362
PNS,0.357296371
EFD,0.191078067
HOU,0.442209353
LAX,0.451296442
BTR,0.368059457
SBP,0.279524909
OXR,0.235927821
ABQ,0.379433166
TVL,0.352705411
TYS,0.320538892
MOB,0.379631161
ILM,0.317729497
TOL,0.375403226
GFK,0.222997172
TTN,0.427050053
BIS,0.275712334
MSP,0.40515082
MTJ,0.334924044
SJU,0.378172742
ORF,0.380904869
MLI,0.338575475
RAP,0.241481748
MKK,0.074074074
PDX,0.377515746
ALO,0.280503145
ROW,0.306547619
EUG,0.364863556
AUS,0.34473204
SCC,0.317920354
FLO,0.315368196
EVV,0.332352671
FLL,0.46509894
SUN,0.287251551
ICT,0.3017821
CSG,0.323969396
CDV,0.261634794
IAH,0.445044345
SWF,0.335255878
APF,0.364833906
MCO,0.42961696
MKE,0.353204086
FSD,0.308920613
IDA,0.312365659
CKB,0.571428571
HSV,0.288612384
MOD,0.412566891
SHD,0.519230769
SHV,0.322522523
ASE,0.442697457
AGS,0.347949399
MTH,0.58
BRO,0.2614089
MDT,0.307324996
ONT,0.369242409
OKC,0.341245497
WRG,0.330241512
JLN,0.24137931
BLI,0.336398224
MBS,0.259023355
OTZ,0.410849673
OAJ,0.342969984
HRL,0.340429743
GUC,0.319848975
ISP,0.363623144
MOT,0.269466689
ROC,0.424455007
LGA,0.407707895
CLL,0.191227262
JAX,0.378648983
