origin,win.props,mean.wait
GRK,0.283989999,7.027847228
CMI,0.292080026,9.036044974
PIE,0.200304646,1.568164509
BQK,0.245207668,6.865814696
CCR,0.214517174,4.192482178
DAB,0.392944369,8.351816674
SRQ,0.376485115,7.889079435
FSM,0.19866316,3.079881657
LNK,0.374853589,10.38697039
JNU,0.405760935,13.66446829
ADK,0.59223301,18.63106796
GRI,0.227180527,7.103448276
SGU,0.293754358,5.078792708
ISN,0.421446384,19.07730673
LEX,0.374459557,8.890297081
PIH,0.226722874,2.922837243
MEI,0.346140768,10.54369262
LFT,0.278431184,7.147328501
AZO,0.303152617,6.548903807
GCN,0.261933174,4.360381862
BFL,0.276389775,6.831082256
TEX,0.283963228,7.205311542
MAZ,0.273809524,5.321428571
MSY,0.371386226,7.523217293
LSE,0.251768516,5.301116509
FCA,0.306315184,5.050669295
YKM,0.339089482,6.35321821
SEA,0.410995003,9.19405976
MIA,0.448272325,10.13956036
RKS,0.354620817,7.195885784
PHL,0.494686413,11.12608547
COD,0.249689055,4.609141791
SMX,0.245992914,3.245992914
SLE,0.447368421,8.995614035
CYS,0.264957265,7.961538462
EYW,0.42173913,8.622345804
ABE,0.318893988,6.007822568
DUT,0.585399449,18.5523416
YAP,0.477732794,8.5951417
MEM,0.373961034,7.667224258
TXK,0.174844506,2.41568763
TWF,0.328931751,8.20578635
CHO,0.306778879,5.021904542
RDU,0.402547746,7.930045327
EGE,0.332116647,12.23107987
AEX,0.273367192,7.283524904
UCA,0.504004929,5.186691312
LAW,0.154163596,1.050257922
VIS,0.173239437,1.512676056
DFW,0.511655121,10.19980914
PPG,0.666666667,50.88888889
PUB,0.207774799,4.017426273
TYR,0.184446878,2.104271632
RSW,0.398698075,8.637217253
SAF,0.354085603,7.096627756
DCA,0.361135306,5.970108036
HLN,0.33655512,4.975654235
BJI,0.256097561,7.673780488
CRW,0.390412038,7.843102497
HVN,0.414272031,9.061302682
LYH,0.389991613,7.696114062
GCK,0.254416961,10.46996466
GRR,0.352658059,8.125054575
BGM,0.362571248,5.355921469
YAK,0.276231981,5.792658398
PHX,0.453884167,9.704077273
FAY,0.297293172,6.511041009
LIH,0.201834862,0.008100474
BOI,0.353687754,8.39248611
SBA,0.311824348,7.776496149
GGG,0.174467042,1.740014702
BFI,1,28
GUM,0.278022948,4.067784643
VCT,0.19112628,3.174061433
LRD,0.29705467,6.561226548
DBQ,0.321372032,8.6176781
CHS,0.347575871,7.462191069
TPA,0.401128368,8.420069213
COU,0.5,19.25806452
BHM,0.363919264,7.267363436
ITH,0.341909485,3.770923745
ITO,0.1872041,-1.138383356
MRY,0.313233156,7.484472451
EAU,0.232676056,5.381971831
OAK,0.432987966,8.807296209
DIK,0.717171717,62.96969697
PHF,0.305410206,7.705246988
LWB,0.276752768,10.44649446
TRI,0.344542058,9.446480864
AMA,0.32773455,7.179335628
ACT,0.186163677,1.92958958
SAN,0.406545436,8.284054218
BTM,0.259640103,3.205441302
IPL,0.33974359,4.318488529
PIR,0.75,52.125
SJC,0.373033362,7.134028427
PNS,0.357296371,6.935415044
EFD,0.191078067,0.343494424
HOU,0.442209353,10.08426852
LAX,0.451296442,9.200652962
BTR,0.368059457,8.703773857
SBP,0.279524909,7.696624351
OXR,0.235927821,1.416644223
ABQ,0.379433166,7.835443597
TVL,0.352705411,4.48496994
TYS,0.320538892,6.900670589
MOB,0.379631161,8.080528449
ILM,0.317729497,4.885355336
TOL,0.375403226,6.8015625
GFK,0.222997172,4.849198869
TTN,0.427050053,12.94249201
BIS,0.275712334,5.481215847
MSP,0.40515082,8.662585184
SJU,0.378172742,8.934902922
MTJ,0.334924044,8.260240197
ORF,0.380904869,7.383547048
MLI,0.338575475,10.28340021
RAP,0.241481748,4.25250934
MKK,0.074074074,-4.907407407
PDX,0.377515746,8.013164094
ROW,0.306547619,6.858630952
ALO,0.280503145,13.85660377
EUG,0.364863556,10.73224608
AUS,0.34473204,6.707142725
SCC,0.317920354,8.188053097
FLO,0.315368196,8.640875133
EVV,0.332352671,7.696285741
FLL,0.46509894,11.09358836
SUN,0.287251551,4.921762248
ICT,0.3017821,7.398157411
CSG,0.323969396,7.369875528
CDV,0.261634794,5.840243696
IAH,0.445044345,8.272029131
SWF,0.335255878,6.114521726
APF,0.364833906,8.858533792
MCO,0.42961696,8.897259067
MKE,0.353204086,8.060786645
FSD,0.308920613,9.13312996
IDA,0.312365659,5.972373246
CKB,0.571428571,26.42857143
HSV,0.288612384,6.51338091
MOD,0.412566891,13.66977387
SHD,0.519230769,15.19230769
AGS,0.347949399,7.7949399
SHV,0.322522523,6.357865558
ASE,0.442697457,16.11491217
MTH,0.58,23.76
BRO,0.2614089,5.245817685
MDT,0.307324996,6.620919279
ONT,0.369242409,7.514181516
OKC,0.341245497,7.306345985
WRG,0.330241512,9.698459923
JLN,0.24137931,12.19704433
BLI,0.336398224,5.078630311
MBS,0.259023355,5.797977617
OTZ,0.410849673,10.8020915
OAJ,0.342969984,6.987835703
GUC,0.319848975,9.472087379
HRL,0.340429743,7.420352328
ISP,0.363623144,6.944854664
MOT,0.269466689,4.797750895
ROC,0.424455007,8.918907131
LGA,0.407707895,8.898303778
CLL,0.191227262,2.777227723
JAX,0.378648983,7.96550774
