"origin","props","mean.wait","n.01","n.02","n.05","flights.num"
"GRB",0.228368667,4.925413223,6770,1693,271,114843
"GRK",0.280661157,6.896749311,7756,1939,311,37552
"GRR",0.302156081,5.881864068,8101,2026,325,302304
"GSO",0.380135311,7.325311397,9053,2264,363,433641
"GSP",0.316988001,6.160650676,8318,2080,333,249233
"GTF",0.216348232,2.707587678,6514,1629,261,70604
"GTR",0.315638824,10.51929916,8299,2075,332,11890
"GUC",0.297275783,7.943481337,8026,2007,322,11687
"GUM",0.278065184,3.661342473,7712,1928,309,15911
"HDN",0.29478565,8.632637825,7987,1997,320,26104
"HLN",0.276595745,2.039704686,7687,1922,308,34925
"HNL",0.278287778,3.326355279,7716,1929,309,780060
"HOU",0.428314729,9.563629561,9407,2352,377,1476810
"HPN",0.334615502,8.394546727,8554,2139,343,172873
"HRL",0.296844891,6.109043578,8019,2005,321,139475
"HSV",0.277028467,5.596666022,7695,1924,308,206538
"HTS",0.380360472,4.609921464,9055,2264,363,18246
"HVN",0.418913136,7.687205819,9352,2338,375,7365
"IAD",0.39179735,9.673141348,9155,2289,367,1707333
"IAH",0.41939774,7.696558384,9355,2339,375,3784225
"ICT",0.271750998,6.015461438,7603,1901,305,268109
"IDA",0.242896092,2.065111582,7065,1767,283,50267
"ILE",0.174307796,1.295715465,5530,1383,222,13827
"ILM",0.335025716,5.350402602,8559,2140,343,77066
"IND",0.354566864,6.495741259,8792,2198,352,990036
"IPL",0.300404391,2.06920855,8074,2019,323,8759
"ISN",0.299915398,9.012267343,8067,2017,323,2437
"ISO",0.40954687,5.740920097,9290,2323,372,5945
"ISP",0.359930794,6.880839942,8851,2213,355,193866
"ITH",0.286286487,2.193861713,7850,1963,314,20630
"ITO",0.175964355,-1.292672432,5571,1393,223,72371
"IYK",0.142206938,-1.506422575,4687,1172,188,10266
"JAC",0.353665389,7.045445531,8782,2196,352,61859
"JAN",0.357907323,6.926690469,8829,2208,354,243759
"JAX",0.357613245,7.048115029,8826,2207,354,655468
"JFK",0.431172335,11.40542826,9423,2356,377,1862184
"JNU",0.385365945,10.38514207,9100,2275,364,110130
"KOA",0.223665566,1.398449244,6671,1668,267,139974
"KTN",0.316789846,7.309688303,8315,2079,333,63540
"LAN",0.242156951,4.45627508,7050,1763,282,80503
"LAS",0.432952909,9.140295188,9432,2358,378,3357823
"LAW",0.166540892,1.703660032,5333,1334,214,21852
"LAX",0.431359636,7.904738507,9424,2356,377,5140786
"LBB",0.302263648,6.117009455,8102,2026,325,211917
"LCH",0.194624463,2.673579371,6022,1506,241,15048
"LEX",0.348947535,7.214233221,8728,2182,350,171040
"LFT",0.271940187,6.512279665,7606,1902,305,65956
"LGA",0.389012793,8.410666575,9131,2283,366,2801992
"LGB",0.291983246,4.758433593,7942,1986,318,226728
"LIH",0.188960217,-0.064824456,5888,1472,236,134685
"LIT",0.334133106,7.167773888,8548,2137,342,415765
"LMT",0.291113381,11.74668029,7928,1982,318,6037
"LNK",0.322867903,7.552305359,8399,2100,336,78216
"LRD",0.26766581,5.264261157,7531,1883,302,30585
"LSE",0.209863388,3.141912568,6371,1593,255,37796
"LWB",0.350109409,9.350838804,8741,2186,350,2820
"LWS",0.230402629,-0.205258833,6812,1703,273,6119
"LYH",0.346697039,6.64309795,8702,2176,349,11283
"MAF",0.274262585,5.552707215,7647,1912,306,195965
"MBS",0.220925591,3.834734321,6613,1654,265,87948
"MCI",0.366119989,7.123521969,8916,2229,357,1424176
"MCN",0.292576419,12.6573508,7952,1988,319,7204
"MCO",0.398110108,8.003227632,9206,2302,369,2569852
"MDT",0.286008369,5.666218998,7845,1962,314,198014
"MDW",0.458834205,11.03310944,9539,2385,382,1602253
"MEI",0.33729272,10.80312831,8587,2147,344,8838
"MEM",0.339423912,6.389657216,8614,2154,345,1473731
"MFE",0.261250143,4.514912581,7415,1854,297,88629
"MFR",0.364804637,10.57009269,8902,2226,357,74832
"MGM",0.325465137,7.919766433,8434,2109,338,74070
"MHK",0.287748827,7.37497977,7874,1969,315,6324
"MHT",0.345966743,7.762175292,8693,2174,348,299577
"MIA",0.426747292,9.745127115,9398,2350,376,1819307
"MKE",0.311934927,6.225345593,8246,2062,330,652821
"MKG",0.260141661,5.173213136,7394,1849,296,3298
"MLB",0.295961707,5.5573114,8005,2002,321,75119
"MLI",0.279199142,7.119540143,7732,1933,310,108203
"MLU",0.329421183,7.698679049,8487,2122,340,63608
"MOB",0.369667028,6.919139145,8952,2238,359,150664
"MOD",0.398528273,12.288702,9209,2303,369,19155
"MOT",0.219273475,2.650884167,6577,1645,264,37063
"MQT",0.227474619,7.616857022,6751,1688,271,9815
"MRY",0.314826438,6.763374858,8287,2072,332,96530
"MSN",0.254056268,5.928023961,7281,1821,292,200992
"MSO",0.295621465,3.777738695,8000,2000,320,72115
"MSP",0.36351615,7.233771067,8889,2223,356,3362561
"MSY",0.348231162,6.64836997,8720,2180,349,1149318
"MTJ",0.28984683,5.675007583,7908,1977,317,26862
"MYR",0.318829067,5.657041289,8344,2086,334,102523
"OAJ",0.354071931,6.975816453,8786,2197,352,19760
"OAK",0.412873441,7.320115133,9313,2329,373,1393151
"OGG",0.259280603,2.483093768,7378,1845,296,273109
"OKC",0.317292565,6.179443994,8322,2081,333,593505
"OMA",0.304425368,6.406783786,8135,2034,326,520656
"OME",0.407010711,9.416630964,9272,2318,371,26690
"ONT",0.339099498,6.047515574,8610,2153,345,891915
"ORD",0.488919807,11.87000809,9600,2400,384,8156337
"ORF",0.381867132,7.175136113,9068,2267,363,510146
"ORH",0.312,4.36962963,8247,2062,330,14430
"OTH",0.513162576,26.1072572,9598,2400,384,5808
"OTZ",0.398781612,9.119874955,9211,2303,369,26038
"OXR",0.220830647,0.605764803,6611,1653,265,11111
